52: "Absorbed dose"
53: "Absorber element"
54: "Accident"
55: "Actinides"
56: "Active device"
57: "Activity"
58: "Acute irradiation"
59: "Acute radiation syndrom"
60: "Advanced gas-cooled reactor"
61: "AFS"
62: "Alpha-radiation"
63: "Annihilation"
64: "Anthropogenic radiation"
65: "Anticipated accident"
66: "Anticipated accident management"
67: "Antiparticle"
68: "ASHPM"
69: "ASKRO"
70: "Atom"
71: "Atomic mass"
72: "Atomic nucleus"
73: "Atomic number"
74: "Biological shield"
75: "Blanket"
76: "Boiling water reactor"
77: "Breeder"
78: "Breeder reactor"
79: "Breeding"
80: "Breeding ratio"
81: "Burnable absorber"
82: "Burnup"
83: "Capacity factor"
84: "Cask"
85: "Categories of radiation exposed persons"
86: "Ceramic fuel"
87: "CFA"
88: "CFM"
89: "Chain fission reaction"
90: "Chain nuclear reaction"
91: "Charge/discharge machine"
92: "Chemical radioprotectors"
93: "Chronic exposure"
94: "CIS"
95: "Cladding"
96: "Closed nuclear fuel cycle"
97: "Collective radiation dose"
98: "Commercial operation"
99: "Commissioning"
100: "Containment"
101: "Control rods"
102: "Controlled area"
103: "Conversion ratio"
104: "Converter"
105: "Coolant"
106: "Core"
107: "Cosmic radiation"
108: "Critical assembly"
109: "Critical facility"
110: "Critical group"
111: "Critical mass"
112: "Critical organ"
113: "Critical organ groups"
114: "Criticality"
115: "CS"
116: "Cumulative dose"
117: "Curie"
118: "Daughter product"
119: "Decay chain"
120: "Decay heat"
121: "Decommissioning"
122: "Decontamination"
123: "Demonstration reactor"
124: "Depleted uranium"
125: "Depletion"
126: "Design-basis accident"
127: "Deuterium"
128: "District heating nuclear plant"
129: "Dose commitments"
130: "Dose limit"
131: "Dosimeter"
132: "Dosimetry"
133: "Doubling time"
134: "Drum separator"
135: "DTI"
136: "EDF"
137: "Electron"
138: "Elementary particles"
139: "Emergency core cooling system"
140: "Emergency protection"
141: "Engineered safety systems"
142: "Enriched nuclear fuel"
143: "Enriched uranium"
144: "Enrichment"
145: "Equivalent dose"
146: "EREC"
147: "ETS"
148: "Experimental reactor"
149: "Exposure dose"
150: "External exposure"
151: "Fast neutrons"
[152 … 251]
152: "Fast reactor"
153: "FCHC"
154: "FEC"
155: "Fertile material"
156: "Fertile nuclide"
157: "First power"
158: "Fissile material"
159: "Fissile nuclide"
160: "Fission fragments"
161: "Fission products"
162: "FST"
163: "FSUAE"
164: "FSUE"
165: "Fuel assembly"
166: "Fuel channel"
167: "Fuel element"
168: "Fuel storage pool"
169: "Fusion reactor"
170: "Gamma radiation"
171: "Gas centrifuge process"
172: "Gaseous diffusion process"
173: "Genetic radiation effects"
174: "Geological storage"
175: "GHK"
176: "GOST"
177: "Graphite"
178: "Gray"
179: "Greenhouse effect"
180: "Header"
181: "Heavy water"
182: "Heavy-water reactor"
183: "Heterogeneous reactor"
184: "High enriched uranium"
185: "High temperature gas-cooled reactor"
186: "High-level radioactive wastes"
187: "Homogeneous reactor"
188: "Hydrometallurgical uranium ore processing"
189: "IAEA"
190: "IAEA safeguards"
191: "IHEP"
192: "Incident"
193: "Individual radiation dose"
194: "Indused radioactivity"
195: "INES"
196: "Inherent reactor safety"
197: "Inspection"
198: "Intermediate storage"
199: "Internal exposure"
200: "Ion"
201: "Ionization"
202: "Ionizing radiation"
203: "Ionizing radiation source"
204: "Irradiation"
205: "ISO"
206: "Isotopes"
207: "Isotopic abundance"
208: "ISP"
209: "ISTC"
210: "ITER"
211: "KIUM"
212: "License"
213: "Licensing"
214: "Licensing procedure"
215: "Light water reactor"
216: "Limited part of population"
217: "Magnox reactor"
218: "Main dose limit"
219: "Maximum permissible dose"
220: "MCC"
221: "MHE"
222: "Minatom"
223: "Mixed oxide fuel"
224: "Moderator"
225: "MOX"
226: "MOX-fuel"
227: "MOКС-топливо"
228: "MPA"
229: "MSZ"
230: "Multibarrier principle"
231: "Multiplication factor"
232: "NAEK"
233: "Natural background"
234: "Natural uranium"
235: "Neutron absorber"
236: "NFW"
237: "Normal operation"
238: "NPP"
239: "Nuclear accident"
240: "Nuclear energy"
241: "Nuclear fission"
242: "Nuclear fuel"
243: "Nuclear fuel breeding"
244: "Nuclear fuel burnup"
245: "Nuclear fuel cycle"
246: "Nuclear fuel cycle back-end"
247: "Nuclear fuel cycle front-end"
248: "Nuclear fusion"
249: "Nuclear grade graphite"
250: "Nuclear installation"
251: "Nuclear material"
[252 … 351]
252: "Nuclear plant"
253: "Nuclear plant personnel"
254: "Nuclear power"
255: "Nuclear power and district heating plant"
256: "Nuclear Power Plant"
257: "Nuclear reaction"
258: "Nuclear reactor"
259: "Nuclear safety"
260: "Nuclear transformation"
261: "Nuclide"
262: "Occupational exposure"
263: "Once-through fuel cycle"
